17,0,0,28,14,4,23,32,35,35,9,1,8,0,12,0,0,0,0,0,0,0,19,16,1,0,23,0,0,6,16,0,0,17,0,32,0,0,20,0,21,
14,29,0,0,21,0,23,20,14,36,0,0,20,7,31,0,6,15,14,31,0,0,0,15,0,20,0,30,22,0,12,20,6,14,24,37,20,0,0,22,20,
0,10,24,26,16,31,0,30,0,38,31,38,19,12,36,34,0,11,23,9,19,0,0,27,1,0,22,35,0,0,11,27,26,0,37,30,28,9,20,21,18,
38,1,39,16,9,18,23,36,36,33,4,20,0,16,4,0,11,1,11,37,16,15,27,0,27,1,28,3,11,39,3,15,13,14,30,26,0,0,21,8,28,
9,32,39,5,11,14,0,1,34,17,30,8,0,0,35,34,0,31,4,36,1,0,1,27,0,5,22,16,0,0,35,25,11,14,0,4,39,1,26,0,11,
36,31,22,20,1,25,2,23,16,6,35,39,0,23,28,4,0,36,11,20,0,20,0,1,5,0,30,0,31,39,4,23,29,4,9,1,31,18,30,0,36,
0,24,9,9,8,10,27,31,0,11,17,30,0,26,32,16,23,21,27,0,23,0,22,28,22,30,0,38,0,2,29,28,0,39,0,17,36,0,3,33,2,
7,21,0,0,39,0,18,23,40,31,26,33,0,7,27,30,28,24,0,0,0,30,35,3,16,0,38,0,39,8,20,8,16,13,39,18,25,31,29,5,23,
30,12,1,5,0,35,0,26,0,21,12,15,20,40,0,19,9,33,1,35,0,22,0,11,0,31,0,39,0,0,35,9,0,26,28,0,20,37,30,19,0,
20,8,0,29,27,38,24,32,28,0,17,28,0,0,3,36,8,0,33,25,6,0,0,39,0,39,2,8,0,0,16,0,0,0,0,28,39,0,32,36,0,
0,15,24,7,37,0,26,23,9,0,2,32,19,14,0,34,11,16,10,34,16,12,11,3,35,4,29,20,35,16,0,0,15,34,9,16,2,13,1,38,2,
39,0,35,0,0,0,36,14,17,26,5,0,2,0,31,1,36,19,12,10,0,20,27,15,25,23,28,8,9,0,0,0,0,12,24,0,5,36,16,1,25,
34,10,13,28,34,8,0,26,30,5,0,19,1,32,0,29,29,20,32,13,0,6,26,13,11,29,0,16,0,0,15,0,0,0,0,22,0,30,8,22,20,
2,19,13,0,38,0,8,0,28,17,37,38,26,7,14,32,0,9,38,0,17,14,0,14,14,4,39,13,26,0,34,12,0,0,32,21,17,22,0,14,11,
35,0,15,40,36,7,0,33,0,0,0,6,16,31,0,18,29,40,13,19,0,24,37,30,0,9,0,39,28,0,9,24,0,32,0,22,31,16,0,20,26,
18,6,21,26,21,0,0,0,2,30,9,4,34,0,5,33,22,22,1,26,32,37,30,26,4,1,17,18,0,28,16,0,22,21,22,0,0,0,0,10,24,
36,40,25,0,39,40,22,39,24,32,0,16,0,26,38,34,0,0,37,9,0,20,28,0,39,31,36,25,20,39,2,5,0,17,31,0,0,0,0,0,0,
0,5,6,24,38,11,20,4,0,0,0,5,9,23,33,0,0,0,0,40,0,0,9,0,1,18,0,31,37,0,13,36,30,22,16,0,0,0,4,14,0,
0,23,0,0,14,0,0,36,40,15,11,1,13,18,20,1,8,28,33,0,20,0,20,21,26,30,3,29,30,32,1,16,8,0,0,0,0,4,0,19,23,
6,13,9,23,27,39,0,13,26,0,8,0,39,31,40,6,31,4,8,24,0,22,21,8,0,0,33,5,19,36,38,1,22,14,20,10,0,14,19,0,36,
0,24,32,40,38,0,0,6,18,34,0,0,31,0,40,21,13,4,28,18,21,20,18,28,11,36,2,23,0,0,2,25,20,11,26,24,0,0,23,36,0,
